id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
0cda9,2019-05-18,06-12,2,18,9,18,3,44,26,48,168,8,1.0,0.23,2.54,0.29,22,117
0cda9,2019-05-18,12-18,0,5,0,22,7,33,23,36,126,6,0.75,0.05,2.33,0.29,11,81
0cda9,2019-05-18,18-24,2,4,4,6,0,20,12,18,66,7,0.88,0.16,2.44,0.3,6,45
0cda9,2019-05-19,00-06,0,0,15,12,0,11,8,9,55,5,0.62,0.54,2.29,0.27,1,28
0cda9,2019-05-19,06-12,6,30,13,20,5,35,18,32,159,8,1.0,0.51,2.76,0.22,14,109
0cda9,2019-05-19,12-18,4,6,2,18,6,21,15,23,95,8,1.0,0.14,2.66,0.24,2,68
0cda9,2019-05-19,18-24,2,8,6,8,2,22,10,13,71,8,1.0,0.31,2.67,0.31,11,51
0cda9,2019-05-20,00-06,0,5,5,14,0,10,8,8,50,6,0.75,0.38,2.49,0.28,4,30
0cda9,2019-05-20,06-12,10,22,11,20,10,36,23,38,170,8,1.0,0.34,2.83,0.22,21,120
0cda9,2019-05-20,12-18,0,1,0,10,8,20,13,17,69,6,0.75,0.02,2.32,0.29,3,42
0cda9,2019-05-20,18-24,2,7,7,18,0,21,17,22,94,7,0.88,0.23,2.55,0.23,9,70
0cda9,2019-05-21,00-06,0,0,10,16,0,9,7,7,49,5,0.62,0.43,2.25,0.33,4,33
0cda9,2019-05-21,06-12,6,15,5,30,20,45,42,24,187,8,1.0,0.18,2.72,0.24,20,123
0cda9,2019-05-21,12-18,4,6,0,36,5,27,22,23,123,7,0.88,0.08,2.46,0.29,12,79
0cda9,2019-05-21,18-24,4,8,6,6,0,20,17,24,85,7,0.88,0.23,2.54,0.28,6,65
0cda9,2019-05-22,00-06,0,3,13,12,0,10,8,8,54,6,0.75,0.62,2.48,0.24,3,35
0cda9,2019-05-22,06-12,6,21,5,28,10,36,27,27,160,8,1.0,0.29,2.76,0.22,13,105
0cda9,2019-05-22,12-18,8,5,0,20,11,34,22,52,152,7,0.88,0.05,2.46,0.34,14,94
0cda9,2019-05-22,18-24,2,7,4,8,0,20,13,24,78,7,0.88,0.19,2.46,0.31,6,56
0cda9,2019-05-23,00-06,0,5,13,12,0,13,11,7,61,6,0.75,0.58,2.51,0.21,4,41
0cda9,2019-05-23,06-12,8,23,11,32,8,33,23,19,157,8,1.0,0.45,2.83,0.21,21,108
0cda9,2019-05-23,12-18,4,4,0,22,12,33,24,32,131,7,0.88,0.04,2.5,0.25,6,85
0cda9,2019-05-23,18-24,2,4,11,8,2,13,6,12,58,8,1.0,0.48,2.74,0.22,2,38
0cda9,2019-05-24,00-06,0,0,5,6,0,6,5,4,26,5,0.62,0.33,2.31,0.23,2,19
0cda9,2019-05-24,06-12,8,25,19,18,18,48,30,30,196,8,1.0,0.41,2.85,0.24,24,152
0cda9,2019-05-24,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
0cda9,2019-05-24,18-24,4,3,5,4,4,18,13,13,64,8,1.0,0.18,2.69,0.28,7,52
0cda9,2019-05-25,00-06,0,0,11,8,0,11,9,2,41,5,0.62,0.5,2.17,0.27,2,27
0cda9,2019-05-25,06-12,6,20,8,18,6,39,25,41,163,8,1.0,0.27,2.7,0.25,17,111
0cda9,2019-05-25,12-18,0,4,1,10,4,18,11,13,61,7,0.88,0.12,2.48,0.3,10,49
0cda9,2019-05-25,18-24,2,4,7,6,0,33,16,31,99,7,0.88,0.14,2.29,0.33,7,73
0cda9,2019-05-26,00-06,0,0,9,14,0,6,5,0,34,4,0.5,0.82,1.88,0.41,1,19
0cda9,2019-05-26,06-12,2,18,4,18,6,39,20,41,148,8,1.0,0.22,2.56,0.28,19,104
0cda9,2019-05-26,12-18,0,5,4,12,4,17,12,22,76,7,0.88,0.18,2.55,0.29,4,57
0cda9,2019-05-26,18-24,6,6,8,18,4,27,25,21,115,8,1.0,0.19,2.72,0.23,5,78
0cda9,2019-05-27,00-06,0,1,3,10,0,6,4,7,31,6,0.75,0.24,2.34,0.32,1,19
0cda9,2019-05-27,06-12,2,19,7,24,22,50,30,33,187,8,1.0,0.23,2.7,0.27,24,136
0cda9,2019-05-27,12-18,8,9,7,20,11,42,32,26,155,8,1.0,0.16,2.73,0.27,21,117
0cda9,2019-05-27,18-24,18,3,9,20,10,52,33,47,192,8,1.0,0.09,2.63,0.27,31,143
0cda9,2019-05-28,00-06,0,0,14,12,0,11,9,5,51,5,0.62,0.56,2.25,0.27,2,31
0cda9,2019-05-28,06-12,46,20,14,22,12,86,66,74,340,8,1.0,0.15,2.69,0.25,61,271
0cda9,2019-05-28,12-18,6,3,0,20,14,31,20,35,129,7,0.88,0.03,2.52,0.27,17,95
0cda9,2019-05-28,18-24,4,5,6,14,4,28,18,20,99,8,1.0,0.17,2.66,0.28,8,71
0cda9,2019-05-29,00-06,0,0,8,8,0,7,7,3,33,5,0.62,0.47,2.25,0.24,2,21
0cda9,2019-05-29,06-12,2,24,8,34,22,56,33,35,214,8,1.0,0.26,2.7,0.26,28,146
0cda9,2019-05-29,12-18,14,3,2,16,8,24,16,23,106,8,1.0,0.08,2.71,0.23,10,70
0cda9,2019-05-29,18-24,2,11,4,8,0,27,24,31,107,7,0.88,0.18,2.4,0.29,11,81
0cda9,2019-05-30,00-06,0,0,8,10,0,7,3,4,32,5,0.62,0.57,2.2,0.31,0,18
0cda9,2019-05-30,06-12,17,16,11,26,12,40,40,28,190,8,1.0,0.25,2.85,0.21,29,134
0cda9,2019-05-30,12-18,0,8,0,24,8,28,25,29,122,6,0.75,0.1,2.43,0.24,13,79
0cda9,2019-05-30,18-24,2,8,6,8,2,23,15,26,90,8,1.0,0.22,2.58,0.29,9,65
0cda9,2019-05-31,00-06,0,0,8,6,0,8,6,4,32,5,0.62,0.44,2.28,0.25,1,20
