id,date,hour,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
b9d58,2019-04-17,11,2.0,8.0,14.0,2.0,0.0,6.0,6.0,4.0
b9d58,2019-04-17,12,4.0,2.0,1.0,14.0,0.0,6.0,9.0,6.0
b9d58,2019-04-17,13,1.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0
b9d58,2019-04-17,14,8.0,4.0,10.0,4.0,0.0,9.0,4.0,8.0
b9d58,2019-04-17,15,1.0,3.0,6.0,0.0,2.0,7.0,5.0,4.0
b9d58,2019-04-17,16,0.0,10.0,18.0,0.0,0.0,4.0,3.0,2.0
b9d58,2019-04-17,17,2.0,2.0,7.0,20.0,2.0,10.0,11.0,7.0
b9d58,2019-04-17,18,0.0,0.0,0.0,0.0,4.0,5.0,2.0,7.0
b9d58,2019-04-17,19,0.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0
b9d58,2019-04-17,20,2.0,0.0,0.0,4.0,2.0,8.0,6.0,11.0
b9d58,2019-04-17,21,2.0,10.0,19.0,6.0,0.0,9.0,7.0,5.0
b9d58,2019-04-17,22,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
b9d58,2019-04-17,23,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-18,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-18,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-18,2,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-18,3,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-18,5,0.0,3.0,4.0,4.0,0.0,2.0,1.0,0.0
b9d58,2019-04-18,6,0.0,8.0,6.0,2.0,0.0,2.0,3.0,0.0
b9d58,2019-04-18,7,11.0,2.0,6.0,24.0,0.0,9.0,15.0,6.0
b9d58,2019-04-18,8,15.0,6.0,9.0,2.0,2.0,7.0,7.0,11.0
b9d58,2019-04-18,9,2.0,0.0,1.0,0.0,2.0,4.0,3.0,3.0
b9d58,2019-04-18,11,2.0,0.0,0.0,6.0,6.0,5.0,8.0,2.0
b9d58,2019-04-18,12,1.0,0.0,0.0,4.0,0.0,5.0,6.0,9.0
b9d58,2019-04-18,13,1.0,1.0,3.0,0.0,4.0,9.0,12.0,11.0
b9d58,2019-04-18,14,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0
b9d58,2019-04-18,15,1.0,0.0,0.0,6.0,4.0,8.0,9.0,11.0
b9d58,2019-04-18,16,10.0,0.0,1.0,0.0,4.0,3.0,3.0,15.0
b9d58,2019-04-18,17,12.0,1.0,2.0,28.0,4.0,16.0,13.0,12.0
b9d58,2019-04-18,18,7.0,0.0,0.0,10.0,0.0,9.0,4.0,7.0
b9d58,2019-04-18,19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
b9d58,2019-04-18,20,4.0,8.0,12.0,4.0,0.0,7.0,6.0,6.0
b9d58,2019-04-18,21,0.0,11.0,12.0,4.0,0.0,7.0,2.0,3.0
b9d58,2019-04-18,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
b9d58,2019-04-18,23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-19,0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-19,2,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-19,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-19,4,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-19,5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-19,6,0.0,8.0,10.0,4.0,0.0,2.0,3.0,0.0
b9d58,2019-04-19,7,2.0,3.0,10.0,14.0,0.0,8.0,17.0,7.0
b9d58,2019-04-19,8,0.0,2.0,4.0,2.0,2.0,7.0,17.0,7.0
b9d58,2019-04-19,9,5.0,1.0,2.0,4.0,0.0,9.0,9.0,6.0
b9d58,2019-04-19,10,1.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0
b9d58,2019-04-19,11,2.0,3.0,5.0,5.0,0.0,8.0,7.0,12.0
